weight,age,height,size
58,28.0,172.72,M
61,48.0,172.72,L
65,30.0,162.56,XL
99,28.0,162.56,XXXL
65,30.0,170.18,L
54,35.0,154.94,M
43,27.0,154.94,S
67,28.0,154.94,XL
58,37.0,160.02,L
52,22.0,160.02,S
59,31.0,160.02,M
58,35.0,177.8,L
56,31.0,160.02,M
61,35.0,165.1,L
56,36.0,152.4,S
58,30.0,162.56,XL
56,36.0,167.64,S
65,43.0,160.02,XXXL
46,23.0,160.02,XXS
79,32.0,157.48,XXXL
63,25.0,175.26,L
55,29.0,162.56,S
51,48.0,170.18,M
77,33.0,165.1,XXXL
72,29.0,167.64,XL
58,29.0,170.18,M
65,37.0,165.1,XL
63,49.0,175.26,XL
65,30.0,160.02,S
57,27.0,165.1,S
72,35.0,160.02,XXXL
81,32.0,177.8,XXXL
57,35.0,162.56,S
49,31.0,165.1,S
79,32.0,167.64,XL
56,26.0,165.1,XXS
113,32.0,172.72,XXXL
72,35.0,162.56,XL
47,31.0,157.48,S
56,36.0,165.1,M
65,28.0,167.64,XL
47,28.0,154.94,S
65,34.0,170.18,L
74,31.0,167.64,XL
61,31.0,172.72,M
83,38.0,172.72,XXXL
68,51.0,157.48,L
56,31.0,170.18,M
68,32.0,157.48,XXXL
53,45.0,154.94,M
77,29.0,170.18,L
58,31.0,170.18,S
63,37.0,162.56,M
48,51.0,162.56,S
56,39.0,172.72,S
79,39.0,162.56,XXXL
61,30.0,162.56,XL
68,30.0,162.56,XL
61,30.0,157.48,L
45,34.0,157.48,XXS
65,41.0,154.94,XXXL
58,26.0,172.72,M
52,24.0,157.48,S
90,31.0,185.42,XXXL
61,31.0,165.1,L
53,23.0,160.02,S
61,39.0,175.26,M
58,49.0,172.72,M
77,47.0,157.48,XXXL
49,22.0,167.64,XXS
61,56.0,165.1,L
61,30.0,162.56,M
99,44.0,175.26,XXXL
95,49.0,162.56,XXXL
56,36.0,167.64,M
73,30.0,157.48,XL
79,34.0,175.26,XXXL
58,31.0,170.18,M
65,44.0,172.72,L
61,33.0,162.56,L
59,33.0,170.18,M
53,28.0,154.94,M
68,31.0,170.18,L
58,30.0,170.18,L
58,44.0,172.72,S
56,39.0,157.48,M
56,36.0,165.1,M
48,31.0,162.56,XXS
77,43.0,172.72,XL
61,29.0,170.18,L
61,51.0,157.48,XL
58,33.0,160.02,M
52,31.0,160.02,S
65,29.0,170.18,L
68,28.0,165.1,M
52,33.0,165.1,XXS
63,41.0,167.64,XL
65,26.0,170.18,XXS
60,42.0,162.56,L
97,26.0,165.1,XXXL
60,35.0,157.48,L
56,31.0,167.64,XXS
61,33.0,160.02,XXXL
52,32.0,154.94,XXS
61,30.0,170.18,M
61,27.0,165.1,M
79,23.0,175.26,XXXL
65,37.0,170.18,L
72,26.0,172.72,L
56,31.0,160.02,M
56,28.0,172.72,S
65,31.0,172.72,L
63,35.0,152.4,XXS
59,32.0,160.02,M
68,27.0,165.1,XL
63,26.0,167.64,M
74,37.0,170.18,XXXL
102,40.0,167.64,XXXL
49,32.0,154.94,XXS
53,24.0,154.94,XXS
64,26.0,175.26,M
61,36.0,152.4,L
65,30.0,175.26,M
65,47.0,170.18,XL
65,52.0,182.88,L
54,44.0,162.56,XL
77,27.0,167.64,XL
79,29.0,182.88,XXXL
58,37.0,175.26,M
53,36.0,154.94,S
64,25.0,160.02,L
58,35.0,160.02,L
63,31.0,175.26,L
53,33.0,160.02,L
52,27.0,172.72,S
49,35.0,157.48,M
57,29.0,167.64,XXS
56,34.0,167.64,S
68,25.0,157.48,XL
58,34.0,165.1,M
72,33.0,170.18,XXXL
46,30.0,162.56,XXS
70,41.0,167.64,XXXL
65,37.0,165.1,XXXL
65,26.0,162.56,L
56,39.0,160.02,M
49,38.0,157.48,S
57,26.0,162.56,M
77,31.0,167.64,XXXL
71,30.0,167.64,L
58,37.0,172.72,XXS
68,26.0,170.18,M
58,37.0,167.64,M
58,54.0,170.18,M
61,39.0,177.8,M
61,29.0,157.48,L
77,38.0,152.4,XXXL
58,39.0,170.18,M
70,29.0,172.72,M
49,34.0,162.56,XXS
65,43.0,167.64,M
58,37.0,165.1,M
58,32.0,175.26,M
70,40.0,165.1,XXXL
79,30.0,177.8,XL
61,30.0,170.18,XL
61,30.0,172.72,M
53,44.0,162.56,XXS
56,31.0,160.02,M
54,24.0,160.02,M
56,34.0,152.4,S
54,28.0,162.56,S
55,31.0,152.4,M
74,37.0,180.34,XL
48,38.0,162.56,S
58,30.0,170.18,M
65,26.0,157.48,XL
52,29.0,157.48,S
58,23.0,165.1,S
69,38.0,175.26,XL
56,24.0,167.64,S
48,25.0,160.02,XXS
61,34.0,175.26,M
61,34.0,167.64,M
47,34.0,154.94,S
95,35.0,162.56,XXXL
62,31.0,165.1,L
65,33.0,157.48,L
56,33.0,170.18,M
84,40.0,177.8,XXXL
68,33.0,175.26,XL
90,27.0,170.18,XXXL
58,29.0,154.94,XL
51,37.0,160.02,XXS
56,34.0,162.56,L
68,30.0,165.1,XL
56,25.0,160.02,M
61,26.0,172.72,M
68,31.0,167.64,XXXL
56,21.0,175.26,M
59,23.0,162.56,XL
81,36.0,147.32,XXXL
68,29.0,175.26,L
58,39.0,165.1,S
52,28.0,172.72,XXS
72,27.0,172.72,XXXL
65,27.0,172.72,M
56,36.0,167.64,XXS
48,32.0,157.48,M
63,37.0,154.94,XL
53,28.0,165.1,M
90,54.0,162.56,XXXL
71,29.0,167.64,XL
56,41.0,157.48,S
61,24.0,172.72,S
52,23.0,165.1,S
49,27.0,160.02,XXS
65,34.0,167.64,XXXL
56,32.0,167.64,S
56,31.0,160.02,M
68,33.0,172.72,L
68,37.0,170.18,XXXL
74,36.0,167.64,XXXL
45,27.0,152.4,S
54,33.0,157.48,M
77,35.0,165.1,XL
86,33.0,157.48,XL
55,39.0,152.4,L
61,34.0,175.26,XL
56,30.0,162.56,M
68,32.0,177.8,XL
65,26.0,162.56,L
68,59.0,172.72,XXXL
68,29.0,175.26,M
56,25.0,160.02,M
65,25.0,157.48,XL
56,48.0,172.72,S
53,30.0,157.48,L
58,32.0,157.48,L
63,28.0,172.72,XL
65,25.0,167.64,XL
53,36.0,157.48,XXS
63,42.0,170.18,L
58,27.0,175.26,M
68,33.0,175.26,L
61,34.0,170.18,XL
62,31.0,172.72,L
79,30.0,167.64,XXXL
74,41.0,162.56,XXXL
52,30.0,162.56,XXS
74,41.0,177.8,XXXL
57,30.0,167.64,S
54,27.0,162.56,S
65,48.0,170.18,XL
58,32.0,172.72,M
55,37.0,154.94,M
54,30.0,152.4,XXS
68,50.0,172.72,XXXL
52,29.0,160.02,S
75,29.0,162.56,M
63,25.0,172.72,L
65,33.0,165.1,XXXL
54,25.0,160.02,S
63,29.0,182.88,XL
52,20.0,160.02,S
58,40.0,165.1,M
77,29.0,170.18,XXXL
56,31.0,162.56,S
52,54.0,157.48,S
79,43.0,157.48,XXXL
61,47.0,157.48,XXL
56,30.0,167.64,S
58,63.0,170.18,XL
61,30.0,167.64,L
52,38.0,154.94,M
45,24.0,157.48,XXS
74,33.0,170.18,XXXL
52,47.0,165.1,M
56,30.0,162.56,S
55,52.0,165.1,M
58,41.0,172.72,M
74,26.0,180.34,XL
54,31.0,162.56,M
58,33.0,175.26,L
58,43.0,160.02,XL
54,25.0,162.56,M
72,39.0,172.72,XL
53,33.0,154.94,XXS
58,38.0,167.64,M
68,35.0,177.8,L
55,26.0,170.18,S
47,37.0,157.48,XXS
63,31.0,170.18,XL
61,32.0,162.56,XL
53,32.0,170.18,S
63,31.0,170.18,M
55,46.0,165.1,L
52,28.0,157.48,XXS
50,32.0,157.48,S
60,41.0,162.56,L
65,23.0,170.18,L
70,58.0,172.72,XXXL
61,30.0,167.64,L
65,34.0,175.26,L
56,28.0,167.64,S
61,32.0,167.64,M
58,29.0,162.56,S
68,40.0,170.18,XL
72,27.0,175.26,L
52,28.0,165.1,XXS
54,26.0,165.1,XXS
65,35.0,167.64,XL
54,37.0,157.48,M
60,35.0,170.18,S
65,28.0,167.64,XL
83,26.0,177.8,XXXL
43,26.0,154.94,M
50,43.0,162.56,XXS
44,20.0,152.4,XXS
58,21.0,160.02,M
57,30.0,160.02,L
58,32.0,160.02,XXS
58,35.0,167.64,M
55,34.0,170.18,M
58,41.0,162.56,M
58,37.0,162.56,M
74,27.0,167.64,XXXL
81,32.0,162.56,XXXL
49,38.0,154.94,M
60,33.0,162.56,L
78,51.0,187.96,XXXL
98,67.0,160.02,XXXL
58,26.0,162.56,M
58,33.0,160.02,L
83,33.0,170.18,XXXL
58,26.0,172.72,L
54,24.0,160.02,S
58,38.0,162.56,XL
65,38.0,154.94,XXXL
61,27.0,165.1,M
49,29.0,157.48,S
47,25.0,162.56,XXS
68,53.0,170.18,XXXL
46,54.0,160.02,S
62,42.0,162.56,M
54,23.0,160.02,M
61,47.0,157.48,XL
61,36.0,177.8,M
74,55.0,180.34,XXXL
61,53.0,170.18,XXXL
68,29.0,172.72,L
58,32.0,165.1,M
90,33.0,162.56,M
58,34.0,152.4,XL
58,39.0,157.48,XL
58,47.0,162.56,M
72,29.0,172.72,XXXL
53,35.0,167.64,S
65,40.0,182.88,L
59,31.0,172.72,M
77,30.0,167.64,XXXL
74,34.0,175.26,XXXL
81,38.0,165.1,XXXL
70,40.0,170.18,XL
72,26.0,162.56,XXXL
65,29.0,167.64,M
63,47.0,162.56,L
61,33.0,162.56,L
63,40.0,175.26,L
61,29.0,165.1,M
56,32.0,160.02,S
63,23.0,165.1,M
65,37.0,167.64,XXXL
61,29.0,167.64,M
70,31.0,170.18,XL
62,51.0,170.18,M
65,31.0,162.56,XXXL
58,31.0,170.18,L
72,29.0,170.18,XL
63,26.0,154.94,XL
56,31.0,160.02,M
70,32.0,154.94,XXXL
74,32.0,172.72,XL
65,35.0,175.26,M
90,49.0,165.1,XXXL
54,26.0,175.26,S
61,30.0,172.72,M
63,38.0,170.18,XXXL
61,27.0,165.1,M
60,29.0,162.56,S
65,45.0,167.64,XL
61,30.0,165.1,XL
64,34.0,177.8,M
58,27.0,170.18,M
65,34.0,170.18,XXXL
61,45.0,167.64,XXXL
54,36.0,170.18,S
58,28.0,160.02,M
54,29.0,165.1,XXS
72,25.0,167.64,XL
58,30.0,175.26,XL
63,34.0,162.56,M
77,52.0,160.02,XXXL
72,21.0,175.26,L
51,25.0,162.56,XXS
52,28.0,170.18,XXS
65,30.0,177.8,M
70,23.0,160.02,XXXL
49,33.0,175.26,XXS
54,34.0,152.4,XXS
68,24.0,167.64,L
57,36.0,167.64,M
63,35.0,165.1,L
86,33.0,170.18,XXXL
49,36.0,160.02,S
64,33.0,172.72,XL
65,38.0,167.64,L
61,28.0,172.72,M
81,31.0,170.18,XXXL
60,39.0,167.64,L
58,27.0,167.64,S
56,38.0,162.56,M
61,29.0,170.18,M
50,31.0,157.48,XXS
53,32.0,162.56,S
56,23.0,157.48,M
58,29.0,175.26,M
74,29.0,177.8,XL
68,35.0,172.72,XXXL
61,26.0,154.94,M
68,31.0,170.18,XL
79,40.0,177.8,XXXL
58,33.0,167.64,L
68,30.0,167.64,XXXL
62,47.0,165.1,XL
52,27.0,165.1,XXS
64,55.0,175.26,M
61,32.0,170.18,M
51,41.0,165.1,S
58,27.0,167.64,L
66,27.0,170.18,XL
52,32.0,154.94,S
77,51.0,172.72,XXXL
52,24.0,154.94,L
52,29.0,165.1,S
58,30.0,170.18,M
83,28.0,170.18,XXXL
65,52.0,165.1,XXXL
73,38.0,165.1,XL
65,49.0,177.8,XXXL
68,43.0,177.8,XL
60,52.0,167.64,M
65,27.0,175.26,L
61,25.0,162.56,M
64,30.0,167.64,L
56,29.0,160.02,M
65,48.0,170.18,XL
63,27.0,172.72,L
61,28.0,162.56,XL
74,41.0,167.64,XXXL
52,24.0,180.34,XXS
63,23.0,177.8,M
44,28.0,160.02,S
54,32.0,154.94,M
53,31.0,170.18,M
63,20.0,170.18,XL
90,27.0,180.34,XXXL
85,38.0,177.8,XXXL
52,26.0,157.48,S
53,20.0,157.48,S
54,34.0,165.1,XXS
47,38.0,154.94,S
63,32.0,167.64,S
66,27.0,172.72,S
56,35.0,167.64,M
56,29.0,165.1,S
54,29.0,165.1,XXS
73,54.0,172.72,XXXL
68,35.0,177.8,XL
65,31.0,157.48,XL
79,36.0,157.48,XXXL
63,26.0,162.56,M
61,35.0,170.18,L
68,36.0,160.02,L
72,47.0,160.02,XXXL
72,41.0,165.1,XL
58,27.0,162.56,L
65,35.0,170.18,XL
68,42.0,170.18,XL
59,25.0,162.56,XL
63,33.0,167.64,L
70,22.0,170.18,XL
54,29.0,165.1,S
86,30.0,167.64,XXXL
54,32.0,162.56,M
49,27.0,170.18,XXS
63,30.0,170.18,M
74,40.0,167.64,XXXL
65,26.0,177.8,M
58,43.0,162.56,L
48,34.0,157.48,XXS
68,37.0,167.64,XXXL
61,28.0,162.56,XL
54,22.0,165.1,S
79,21.0,167.64,XXXL
65,41.0,165.1,XXXL
79,31.0,170.18,XXXL
56,45.0,165.1,XL
61,31.0,170.18,M
56,31.0,165.1,M
53,41.0,162.56,S
58,32.0,162.56,XXS
63,47.0,167.64,L
58,25.0,170.18,M
75,34.0,165.1,XXXL
72,28.0,165.1,XXXL
58,33.0,165.1,S
56,43.0,165.1,M
51,46.0,154.94,S
77,25.0,162.56,XXXL
54,35.0,162.56,S
43,31.0,154.94,XXS
68,28.0,160.02,XL
52,36.0,157.48,XXS
56,31.0,160.02,M
54,22.0,170.18,S
58,40.0,157.48,XL
56,42.0,162.56,M
49,36.0,157.48,XXS
72,52.0,175.26,XXXL
58,30.0,162.56,S
61,31.0,170.18,L
62,29.0,180.34,L
72,62.0,175.26,XXXL
68,30.0,167.64,L
58,32.0,167.64,S
51,32.0,147.32,XXS
58,29.0,167.64,M
56,32.0,157.48,M
56,32.0,162.56,S
61,29.0,157.48,XL
49,31.0,157.48,S
55,27.0,162.56,S
80,48.0,167.64,XXXL
77,33.0,152.4,XXXL
63,35.0,167.64,XL
77,52.0,160.02,XXXL
92,43.0,175.26,XXXL
77,50.0,170.18,L
54,32.0,154.94,S
67,37.0,172.72,XL
57,39.0,170.18,XL
53,31.0,154.94,M
58,33.0,160.02,L
56,36.0,165.1,M
90,32.0,162.56,XXXL
56,36.0,154.94,M
70,33.0,170.18,XL
50,32.0,152.4,M
47,33.0,162.56,XXS
58,31.0,165.1,L
52,55.0,157.48,M
68,29.0,165.1,XL
56,31.0,160.02,XXS
72,27.0,162.56,XL
63,26.0,175.26,M
65,30.0,157.48,XL
47,25.0,157.48,S
58,38.0,165.1,XL
74,47.0,152.4,M
65,37.0,172.72,L
72,40.0,170.18,XXXL
65,34.0,170.18,XL
64,53.0,157.48,XL
52,38.0,165.1,XXS
83,47.0,157.48,XXXL
58,29.0,170.18,L
51,34.0,165.1,XXS
56,55.0,165.1,L
61,32.0,160.02,L
65,64.0,170.18,L
81,26.0,177.8,L
81,34.0,175.26,XL
81,37.0,170.18,XXXL
70,37.0,162.56,XXXL
72,44.0,175.26,XXXL
53,34.0,160.02,XXS
60,29.0,162.56,M
52,29.0,165.1,XXS
48,31.0,162.56,S
61,35.0,165.1,M
63,28.0,175.26,M
65,30.0,160.02,M
54,37.0,177.8,M
58,38.0,162.56,S
61,35.0,160.02,L
69,44.0,165.1,L
53,59.0,162.56,L
61,28.0,175.26,M
53,29.0,147.32,XXS
54,35.0,167.64,S
55,25.0,167.64,S
63,27.0,175.26,L
65,30.0,165.1,L
65,51.0,180.34,XXXL
65,46.0,167.64,XL
61,31.0,162.56,L
69,35.0,157.48,XXXL
68,37.0,175.26,L
66,29.0,162.56,XXXL
56,31.0,170.18,M
63,35.0,170.18,XL
52,35.0,152.4,XXS
65,51.0,165.1,XXXL
54,34.0,167.64,S
48,23.0,162.56,XXS
71,32.0,157.48,XXXL
58,30.0,152.4,S
70,37.0,172.72,XXXL
65,45.0,170.18,XL
90,33.0,172.72,XXXL
65,47.0,160.02,M
53,27.0,154.94,M
63,28.0,160.02,M
49,38.0,165.1,XXS
74,27.0,165.1,XXXL
61,31.0,167.64,M
54,28.0,165.1,S
63,30.0,162.56,XL
72,31.0,165.1,XXXL
81,31.0,152.4,XXXL
56,31.0,170.18,S
63,44.0,157.48,XXXL
65,27.0,170.18,XL
65,53.0,170.18,L
81,38.0,165.1,XXXL
51,31.0,167.64,XXS
72,29.0,172.72,XXXL
58,31.0,170.18,S
52,31.0,162.56,XXS
49,53.0,170.18,S
50,36.0,162.56,S
52,38.0,162.56,S
61,32.0,162.56,L
70,30.0,165.1,XL
47,30.0,167.64,XXS
61,32.0,160.02,M
54,30.0,172.72,XXS
65,38.0,175.26,M
55,24.0,170.18,S
58,28.0,154.94,S
74,33.0,162.56,XXXL
61,29.0,172.72,XL
70,27.0,170.18,L
53,31.0,167.64,S
71,37.0,165.1,XXXL
56,33.0,157.48,M
63,29.0,170.18,L
55,26.0,160.02,S
70,40.0,175.26,XL
54,26.0,165.1,M
54,34.0,162.56,M
56,32.0,157.48,L
79,40.0,177.8,XXXL
58,27.0,157.48,M
61,30.0,160.02,L
61,36.0,165.1,M
68,30.0,177.8,XL
56,30.0,165.1,S
58,30.0,167.64,L
63,31.0,170.18,XL
81,38.0,165.1,XXXL
58,29.0,170.18,S
54,26.0,160.02,XXS
57,29.0,162.56,M
54,33.0,160.02,S
55,31.0,160.02,M
77,32.0,177.8,L
58,30.0,165.1,M
61,38.0,172.72,M
49,29.0,157.48,XXS
74,17.0,160.02,XL
86,34.0,162.56,XXXL
74,33.0,172.72,XXXL
72,31.0,177.8,M
61,27.0,165.1,M
51,32.0,167.64,XXS
51,35.0,160.02,XXS
55,44.0,162.56,M
56,38.0,167.64,L
56,44.0,162.56,S
56,44.0,162.56,L
72,42.0,167.64,XXXL
59,25.0,175.26,M
69,62.0,175.26,XL
50,37.0,157.48,XXS
58,32.0,172.72,M
45,35.0,160.02,S
57,26.0,175.26,XXS
52,30.0,152.4,S
54,30.0,165.1,XXS
61,31.0,167.64,XL
68,28.0,160.02,XXXL
58,39.0,154.94,L
66,113.0,172.72,XXXL
61,48.0,162.56,L
57,53.0,154.94,M
60,31.0,162.56,M
58,35.0,165.1,L
62,24.0,172.72,M
56,21.0,175.26,M
63,32.0,167.64,XL
58,40.0,157.48,M
58,38.0,160.02,M
52,44.0,167.64,M
61,25.0,165.1,M
52,25.0,157.48,XXS
52,54.0,160.02,M
63,35.0,170.18,M
43,23.0,147.32,S
53,34.0,152.4,M
73,62.0,162.56,XXXL
54,51.0,167.64,S
70,46.0,172.72,XXXL
51,21.0,157.48,S
61,38.0,165.1,M
56,30.0,175.26,S
56,32.0,170.18,S
68,40.0,170.18,L
68,37.0,162.56,XL
56,48.0,170.18,M
72,30.0,167.64,XXXL
60,33.0,162.56,XXXL
59,27.0,160.02,L
68,30.0,170.18,XXXL
61,27.0,170.18,M
63,31.0,170.18,L
61,28.0,162.56,L
57,28.0,162.56,S
58,34.0,162.56,M
65,40.0,172.72,XL
56,35.0,172.72,S
77,40.0,165.1,XXXL
86,37.0,187.96,XXXL
52,29.0,160.02,XXS
57,58.0,172.72,M
58,34.0,170.18,M
56,24.0,162.56,M
58,39.0,162.56,M
